date,ydd_hrel,mjd_hrel,3003430_hrf,3003420_hrf,8000701_hrf,3003452_hrf,3003431_hrf,3003450_hrf,3003454_hrf,8000735_hrf,3004620_hwl
2023-05-23 05:00:00,8.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
2023-05-23 06:00:00,8.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
2023-05-23 07:00:00,8.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
2023-05-23 08:00:00,8.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-23 09:00:00,8.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-23 10:00:00,8.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-23 11:00:00,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-23 12:00:00,8.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-23 13:00:00,8.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
2023-05-23 14:00:00,8.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
2023-05-23 15:00:00,8.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-23 16:00:00,8.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
2023-05-23 17:00:00,8.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-23 18:00:00,8.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-23 19:00:00,8.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
