date,ydd_hrel,3003430_hrf,3004630_hwl,3002655_hwl_AR
2024-06-18 13:00:00,11.211,0.0,1.02,0.72
2024-06-18 14:00:00,11.211,0.0,1.02,0.73
2024-06-18 15:00:00,11.211,0.0,1.02,0.73
2024-06-18 16:00:00,11.113,0.0,1.02,0.73
2024-06-18 17:00:00,11.088,0.0,1.01,0.73
2024-06-18 18:00:00,11.099,0.0,1.01,0.73
2024-06-18 19:00:00,11.092,0.0,1.01,0.73
2024-06-18 20:00:00,11.088,0.0,1.01,0.73
2024-06-18 21:00:00,11.094,0.0,1.01,0.73
2024-06-18 22:00:00,11.099,0.0,1.01,0.73
2024-06-18 23:00:00,11.091,0.0,1.01,0.73
2024-06-19 00:00:00,11.095,0.0,1.01,0.73
2024-06-19 01:00:00,11.106,0.0,1.01,0.73
2024-06-19 02:00:00,11.107,0.0,1.01,0.73
2024-06-19 03:00:00,11.109,0.0,1.01,0.73
2024-06-19 04:00:00,11.118,0.0,1.01,0.73
2024-06-19 05:00:00,11.116,0.0,1.01,0.73
2024-06-19 06:00:00,11.108,0.0,1.01,0.73
2024-06-19 07:00:00,11.109,0.0,1.01,0.73
2024-06-19 08:00:00,11.105,0.0,1.01,0.73
2024-06-19 09:00:00,11.111,0.0,1.01,0.73
2024-06-19 10:00:00,11.116,0.0,1.01,0.73
2024-06-19 11:00:00,11.116,0.0,1.01,0.73
2024-06-19 12:00:00,11.116,0.0,1.01,0.73
2024-06-19 13:00:00,11.114,0.0,1.01,0.73
2024-06-19 14:00:00,11.118,0.0,1.01,0.73
2024-06-19 15:00:00,11.117,0.0,1.01,0.73
2024-06-19 16:00:00,11.129,0.0,1.01,0.73
2024-06-19 17:00:00,11.129,0.0,1.01,0.73
2024-06-19 18:00:00,11.125,0.0,1.01,0.73
2024-06-19 19:00:00,11.123,0.0,1.01,0.73
2024-06-19 20:00:00,11.129,0.0,1.01,0.73
2024-06-19 21:00:00,11.117,0.0,1.01,0.73
2024-06-19 22:00:00,11.125,0.0,1.01,0.73
2024-06-19 23:00:00,11.13,0.0,1.01,0.73
2024-06-20 00:00:00,11.125,0.0,1.01,0.73
2024-06-20 01:00:00,11.13,0.0,1.01,0.73
2024-06-20 02:00:00,11.138,0.0,1.01,0.73
2024-06-20 03:00:00,11.131,0.0,1.01,0.73
2024-06-20 04:00:00,11.133,0.0,1.01,0.73
2024-06-20 05:00:00,11.129,0.0,1.01,0.73
2024-06-20 06:00:00,11.133,0.0,1.01,0.73
2024-06-20 07:00:00,11.14,0.0,1.01,0.73
2024-06-20 08:00:00,11.141,0.0,1.01,0.73
2024-06-20 09:00:00,11.139,0.0,1.02,0.73
2024-06-20 10:00:00,11.15,0.0,1.01,0.73
2024-06-20 11:00:00,11.145,0.0,1.01,0.73
2024-06-20 12:00:00,11.144,0.0,1.01,0.73
2024-06-20 13:00:00,11.142,0.0,1.01,0.73
2024-06-20 14:00:00,11.15,0.0,1.01,0.73
2024-06-20 15:00:00,11.147,0.0,1.01,0.73
2024-06-20 16:00:00,11.148,0.0,1.01,0.73
2024-06-20 17:00:00,11.144,0.0,1.01,0.72
2024-06-20 18:00:00,11.156,0.0,1.01,0.73
2024-06-20 19:00:00,11.152,0.0,1.01,0.73
2024-06-20 20:00:00,11.158,0.0,1.01,0.73
2024-06-20 21:00:00,11.163,0.0,1.01,0.73
2024-06-20 22:00:00,11.161,0.0,1.01,0.73
2024-06-20 23:00:00,11.161,0.0,1.01,0.73
2024-06-21 00:00:00,11.177,0.0,1.01,0.73
2024-06-21 01:00:00,11.164,0.0,1.01,0.73
2024-06-21 02:00:00,11.166,0.0,1.02,0.73
2024-06-21 03:00:00,11.167,0.0,1.01,0.73
2024-06-21 04:00:00,11.168,0.0,1.02,0.73
2024-06-21 05:00:00,11.174,0.0,1.01,0.73
2024-06-21 06:00:00,11.178,0.0,1.01,0.73
2024-06-21 07:00:00,11.168,0.0,1.01,0.73
2024-06-21 08:00:00,11.186,0.0,1.01,0.73
2024-06-21 09:00:00,11.176,0.0,1.02,0.73
2024-06-21 10:00:00,11.179,0.0,1.02,0.73
2024-06-21 11:00:00,11.176,0.0,1.01,0.73
2024-06-21 12:00:00,11.18,0.0,1.02,0.73
2024-06-21 13:00:00,11.181,0.0,1.01,0.73
2024-06-21 14:00:00,11.177,0.0,1.01,0.73
2024-06-21 15:00:00,11.188,0.0,1.02,0.73
2024-06-21 16:00:00,11.183,0.0,1.01,0.73
2024-06-21 17:00:00,11.189,0.0,1.01,0.73
2024-06-21 18:00:00,11.184,0.0,1.01,0.73
2024-06-21 19:00:00,11.188,0.0,1.01,0.73
2024-06-21 20:00:00,11.189,0.0,1.01,0.73
2024-06-21 21:00:00,11.192,0.0,1.01,0.73
2024-06-21 22:00:00,11.195,0.0,1.01,0.73
2024-06-21 23:00:00,11.198,0.0,1.01,0.73
2024-06-22 00:00:00,11.196,0.0,1.01,0.73
2024-06-22 01:00:00,11.19,0.0,1.01,0.73
2024-06-22 02:00:00,11.204,0.0,1.01,0.73
2024-06-22 03:00:00,11.205,0.0,1.01,0.73
2024-06-22 04:00:00,11.196,0.0,1.01,0.73
2024-06-22 05:00:00,11.207,0.0,1.02,0.73
2024-06-22 06:00:00,11.204,0.0,1.01,0.73
2024-06-22 07:00:00,11.207,0.0,1.02,0.73
2024-06-22 08:00:00,11.206,0.0,1.01,0.73
2024-06-22 09:00:00,11.213,3.0,1.02,0.74
2024-06-22 10:00:00,11.21,0.0,1.02,0.73
2024-06-22 11:00:00,11.209,1.0,1.02,0.74
2024-06-22 12:00:00,11.205,0.0,1.02,0.74
2024-06-22 13:00:00,11.208,1.0,1.02,0.74
2024-06-22 14:00:00,11.207,1.0,1.02,0.74
2024-06-22 15:00:00,11.209,2.0,1.02,0.74
2024-06-22 16:00:00,11.209,0.0,1.02,0.74
2024-06-22 17:00:00,11.213,2.0,1.02,0.74
2024-06-22 18:00:00,11.216,2.0,1.02,0.74
2024-06-22 19:00:00,11.21,0.0,1.02,0.75
2024-06-22 20:00:00,11.206,1.0,1.02,0.75
2024-06-22 21:00:00,11.209,0.0,1.02,0.75
2024-06-22 22:00:00,11.216,0.0,1.02,0.75
2024-06-22 23:00:00,11.212,0.0,1.02,0.75
2024-06-23 00:00:00,11.214,0.0,1.01,0.74
2024-06-23 01:00:00,11.217,0.0,1.02,0.74
2024-06-23 02:00:00,11.222,0.0,1.02,0.74
2024-06-23 03:00:00,11.209,0.0,1.02,0.74
2024-06-23 04:00:00,11.209,0.0,1.02,0.74
2024-06-23 05:00:00,11.209,1.0,1.02,0.74
2024-06-23 06:00:00,11.204,0.0,1.02,0.74
2024-06-23 07:00:00,11.21,0.0,1.02,0.74
2024-06-23 08:00:00,11.211,0.0,1.01,0.74
2024-06-23 09:00:00,11.218,0.0,1.02,0.74
2024-06-23 10:00:00,11.217,1.0,1.02,0.74
2024-06-23 11:00:00,11.223,1.0,1.01,0.74
2024-06-23 12:00:00,11.218,0.0,1.02,0.74
2024-06-23 13:00:00,11.224,0.0,1.02,0.74
2024-06-23 14:00:00,11.225,0.0,1.02,0.74
2024-06-23 15:00:00,11.175,0.0,1.02,0.74
2024-06-23 16:00:00,11.043,0.0,1.02,0.74
2024-06-23 17:00:00,11.017,0.0,1.01,0.73
2024-06-23 18:00:00,11.022,0.0,1.01,0.74
2024-06-23 19:00:00,11.015,0.0,1.01,0.74
2024-06-23 20:00:00,11.016,0.0,1.01,0.74
2024-06-23 21:00:00,11.02,0.0,1.01,0.73
2024-06-23 22:00:00,11.02,0.0,1.01,0.73
2024-06-23 23:00:00,11.022,0.0,1.01,0.73
2024-06-24 00:00:00,11.022,0.0,1.01,0.73
2024-06-24 01:00:00,11.038,0.0,1.01,0.73
2024-06-24 02:00:00,11.091,0.0,1.01,0.73
2024-06-24 03:00:00,11.099,0.0,1.01,0.73
2024-06-24 04:00:00,11.106,0.0,1.01,0.73
2024-06-24 05:00:00,11.1,0.0,1.01,0.73
2024-06-24 06:00:00,11.099,0.0,1.01,0.73
2024-06-24 07:00:00,11.102,0.0,1.01,0.73
2024-06-24 08:00:00,11.098,0.0,1.01,0.73
2024-06-24 09:00:00,11.103,0.0,1.01,0.73
2024-06-24 10:00:00,11.109,0.0,1.01,0.73
2024-06-24 11:00:00,11.118,0.0,1.01,0.73
2024-06-24 12:00:00,11.072,0.0,1.01,0.73
2024-06-24 13:00:00,11.1,0.0,1.01,0.73
2024-06-24 14:00:00,11.105,0.0,1.01,0.73
2024-06-24 15:00:00,11.111,0.0,1.01,0.73
2024-06-24 16:00:00,11.117,0.0,1.01,0.73
2024-06-24 17:00:00,11.108,0.0,1.01,0.73
2024-06-24 18:00:00,11.11,0.0,1.01,0.72
2024-06-24 19:00:00,11.125,0.0,1.01,0.73
2024-06-24 20:00:00,11.122,0.0,1.01,0.73
2024-06-24 21:00:00,11.12,0.0,1.01,0.73
2024-06-24 22:00:00,11.119,0.0,1.01,0.73
2024-06-24 23:00:00,11.122,0.0,1.01,0.73
2024-06-25 00:00:00,11.116,0.0,1.01,0.73
2024-06-25 01:00:00,11.125,0.0,1.01,0.73
2024-06-25 02:00:00,11.119,0.0,1.01,0.73
2024-06-25 03:00:00,11.128,0.0,1.01,0.73
